Detailed;;;;;;;
Position X;Position Y;Position Z;Unit;Category;Collection;Time;ID
1103,12;755,43;3674,47;um;Spot;Position;1;0
1352,91;775,99;3678,65;um;Spot;Position;1;1
1483,86;1083,12;3695,94;um;Spot;Position;1;2
1353,11;1208,10;3698,73;um;Spot;Position;1;3
1654,77;1241,90;3700,43;um;Spot;Position;1;4
1643,71;1246,51;3702,46;um;Spot;Position;1;5
1545,36;1237,79;3705,70;um;Spot;Position;1;6
1332,52;1478,89;3710,73;um;Spot;Position;1;7
1554,07;1445,63;3693,51;um;Spot;Position;1;8
1561,63;1451,29;3693,81;um;Spot;Position;1;9
1545,34;1447,80;3695,99;um;Spot;Position;1;10
1559,70;1455,02;3694,85;um;Spot;Position;1;11
1548,25;1455,23;3695,93;um;Spot;Position;1;12
1546,18;1472,03;3698,60;um;Spot;Position;1;13
1531,30;1477,13;3704,96;um;Spot;Position;1;14
1725,88;1439,00;3696,73;um;Spot;Position;1;15
907,34;1567,73;3676,99;um;Spot;Position;1;16
889,05;1577,99;3676,53;um;Spot;Position;1;17
1600,82;1502,58;3707,03;um;Spot;Position;1;18
1592,84;1507,98;3711,04;um;Spot;Position;1;19
1571,79;1514,23;3712,21;um;Spot;Position;1;20
1584,27;1511,98;3713,10;um;Spot;Position;1;21
983,06;458,83;3751,50;um;Spot;Position;1;22
1386,61;469,66;3747,12;um;Spot;Position;1;23
1395,09;463,45;3749,67;um;Spot;Position;1;24
561,13;806,14;3750,97;um;Spot;Position;1;25
1761,09;912,07;3725,22;um;Spot;Position;1;26
454,06;1034,67;3769,31;um;Spot;Position;1;27
1675,21;1039,64;3724,24;um;Spot;Position;1;28
778,16;1355,84;3725,82;um;Spot;Position;1;29
791,64;1345,06;3730,33;um;Spot;Position;1;30
795,42;1350,54;3730,38;um;Spot;Position;1;31
772,54;1351,35;3729,99;um;Spot;Position;1;32
793,26;1352,79;3729,89;um;Spot;Position;1;33
783,28;1348,97;3731,69;um;Spot;Position;1;34
779,00;1353,38;3735,44;um;Spot;Position;1;35
792,33;1356,91;3735,87;um;Spot;Position;1;36
786,09;1360,01;3735,37;um;Spot;Position;1;37
803,27;1565,79;3737,84;um;Spot;Position;1;38
748,38;1662,93;3747,77;um;Spot;Position;1;39
1277,84;1662,17;3741,05;um;Spot;Position;1;40
1465,68;1550,70;3739,01;um;Spot;Position;1;41
1344,64;1628,71;3751,63;um;Spot;Position;1;42
744,18;1671,23;3756,38;um;Spot;Position;1;43
953,39;1813,43;3750,33;um;Spot;Position;1;44
695,90;536,05;3792,68;um;Spot;Position;1;45
675,49;537,27;3793,12;um;Spot;Position;1;46
665,48;540,92;3795,05;um;Spot;Position;1;47
648,45;531,92;3799,64;um;Spot;Position;1;48
666,76;544,19;3798,25;um;Spot;Position;1;49
668,01;524,90;3803,49;um;Spot;Position;1;50
614,62;542,62;3803,29;um;Spot;Position;1;51
627,88;547,02;3802,94;um;Spot;Position;1;52
